COMPANY LIST,URL TERM
Nomura Holdings,nomura-holdings
Nippon Steel & Sumitomo Metal,nippon-steel-&-sumitomo-metal
Wesfarmers,wesfarmers
China Everbright Bank,china-everbright-bank
SAP,sap
Jardine Matheson,jardine-matheson
Japan Tobacco,japan-tobacco
BG Group,bg-group
Itochu,itochu
Carrefour,carrefour
SABMiller,sabmiller
Bank of New York Mellon,bank-of-new-york-mellon
Continental,continental
EMC,emc
Costco Wholesale,costco-wholesale
BT Group,bt-group
Eli Lilly & Co,eli-lilly-&-co
Seven & I Holdings,seven-&-i-holdings
Canon,canon
Lowe's Cos,lowe's-cos
China State Construction,china-state-construction
Freeport-McMoRan Copper,freeport-mcmoran-copper
Telstra,telstra
LyondellBasell Industries,lyondellbasell-industries
China Pacific Insurance,china-pacific-insurance
Diageo,diageo
Abbott Laboratories,abbott-laboratories
Gas Natural Fenosa,gas-natural-fenosa
Danske Bank,danske-bank
Aetna,aetna
Sony,sony
Aegon,aegon
Ericsson,ericsson
Posco,posco
East Japan Railway,east-japan-railway
Brookfield Asset Management,brookfield-asset-management
Altria Group,altria-group
BlackRock,blackrock
Exelon,exelon
Danone,danone
Archer Daniels Midland,archer-daniels-midland
McKesson,mckesson
Heineken Holding,heineken-holding
Panasonic,panasonic
Hess,hess
People's Insurance Company,people's-insurance-company
Shinhan Financial Group,shinhan-financial-group
eBay,ebay
Natixis,natixis
Time Warner Cable,time-warner-cable
General Dynamics,general-dynamics
AbbVie,abbvie
Medtronic,medtronic
EXOR,exor
Bristol-Myers Squibb,bristol-myers-squibb
KIA Motors,kia-motors
SEB,seb
KBC Group,kbc-group
FedEx,fedex
Renault,renault
VTB Bank,vtb-bank
Sumitomo Corp,sumitomo-corp
CNP Assurances,cnp-assurances
MS&AD Insurance,ms&ad-insurance
Hyundai Mobis,hyundai-mobis
Halliburton,halliburton
Danaher,danaher
Apache,apache
Sun Life Financial,sun-life-financial
Marathon Petroleum,marathon-petroleum
Southern Co,southern-co
Ping An Bank,ping-an-bank
Linde,linde
NextEra Energy,nextera-energy
Saint-Gobain,saint-gobain
Canadian Natural Resources,canadian-natural-resources
Transneft,transneft
Visa,visa
Rolls-Royce Holdings,rolls-royce-holdings
JX Holdings,jx-holdings
Imperial Tobacco Group,imperial-tobacco-group
Woolworths,woolworths
Bridgestone,bridgestone
Cigna,cigna
Standard Bank Group,standard-bank-group
DBS Group,dbs-group
Svenska Handelsbanken,svenska-handelsbanken
BCE,bce
Centrica,centrica
National Oilwell Varco,national-oilwell-varco
Air Liquide,air-liquide
Teva Pharmaceutical Inds,teva-pharmaceutical-inds
Old Mutual,old-mutual
Philips,philips
Swedbank,swedbank
Oversea-Chinese Banking,oversea-chinese-banking
Eaton,eaton
Directv,directv
Dai-ichi Life Insurance,dai-ichi-life-insurance
Marubeni,marubeni
Fresenius,fresenius
ICICI Bank,icici-bank
China Vanke,china-vanke
China Communications Construction,china-communications-construction
State Street,state-street
Central Japan Railway,central-japan-railway
Kroger,kroger
Johnson Controls,johnson-controls
China Railway Construction,china-railway-construction
Henkel,henkel
Inditex,inditex
Emerson Electric,emerson-electric
Husky Energy,husky-energy
Wilmar International,wilmar-international
Teliasonera,teliasonera
Dominion Resources,dominion-resources
BB&T,bb&t
China Railway Group,china-railway-group
Sasol,sasol
NIKE,nike
Kinder Morgan,kinder-morgan
SingTel,singtel
CaixaBank,caixabank
OMV Group,omv-group
Maybank,maybank
Holcim,holcim
Reckitt Benckiser Group,reckitt-benckiser-group
Telenor,telenor
EOG Resources,eog-resources
Tata Motors,tata-motors
