COMPANY LIST,URL TERM
Cathay Pacific Airways,cathay-pacific-airways
St Jude Medical,st-jude-medical
CGI Group,cgi-group
Noble Group,noble-group
Bank of India,bank-of-india
Public Storage,public-storage
Jeronimo Martins,jeronimo-martins
Bank of Greece,bank-of-greece
CapitaLand,capitaland
Schroders,schroders
Coca-Cola Enterprises,coca-cola-enterprises
Tata Steel,tata-steel
Rockwell Automation,rockwell-automation
Finmeccanica,finmeccanica
Avnet,avnet
Wm Morrison Supermarkets,wm-morrison-supermarkets
Canadian Tire,canadian-tire
China Oilfield Services,china-oilfield-services
Ralph Lauren,ralph-lauren
Showa Shell Sekiyu,showa-shell-sekiyu
Schindler Holding,schindler-holding
Bank of Yokohama,bank-of-yokohama
Lorillard,lorillard
Grupo Carso,grupo-carso
Banco Popolare,banco-popolare
Continental Resources,continental-resources
CA,ca
NHN,nhn
Wynn Resorts,wynn-resorts
Arab National Bank,arab-national-bank
Weichai Power,weichai-power
Amcor,amcor
Wendel,wendel
Bidvest Group,bidvest-group
Brambles,brambles
Hankyu Hanshin Holdings,hankyu-hanshin-holdings
Qingdao Haier,qingdao-haier
Sun Art Retail Group,sun-art-retail-group
Power Grid of India,power-grid-of-india
IntercontinentalExchange,intercontinentalexchange
Rock-Tenn,rock-tenn
Mattel,mattel
Pohjola Bank,pohjola-bank
Shaanxi Coal Industry,shaanxi-coal-industry
CenterPoint Energy,centerpoint-energy
Advanced Info Service,advanced-info-service
Harley-Davidson,harley-davidson
DP World,dp-world
Chongqing Rural Bank,chongqing-rural-bank
Legrand,legrand
Uralkali,uralkali
Kyushu Electric Power,kyushu-electric-power
SGS,sgs
Terna,terna
Grupo Bimbo,grupo-bimbo
Guangzhou R&F,guangzhou-r&f
Mediatek,mediatek
KGHM Polska Miedz,kghm-polska-miedz
Ventas,ventas
O'Reilly Automotive,o'reilly-automotive
Newmont Mining,newmont-mining
Neste Oil,neste-oil
Sumitomo Chemical,sumitomo-chemical
Air France-KLM,air-france-klm
Shin Kong Financial,shin-kong-financial
Tingyi Holding,tingyi-holding
McGraw-Hill Cos,mcgraw-hill-cos
Shire,shire
Assurant,assurant
BorgWarner,borgwarner
Cielo,cielo
Bharat Petroleum,bharat-petroleum
Dangote Cement,dangote-cement
IHI,ihi
Helvetia Holding,helvetia-holding
Ashland,ashland
Latam Airlines,latam-airlines
Ambac Financial Group,ambac-financial-group
All Nippon Airways,all-nippon-airways
RHB Capital,rhb-capital
Henan Shuanghui Investment,henan-shuanghui-investment
United Utilities,united-utilities
Storebrand,storebrand
Hormel Foods,hormel-foods
Intact Financial,intact-financial
Delhaize Group,delhaize-group
Norsk Hydro,norsk-hydro
Petronas Chemicals,petronas-chemicals
Prologis,prologis
Randstad Holding,randstad-holding
Sembcorp Industries,sembcorp-industries
Attijariwafa Bank,attijariwafa-bank
Melco Crown Entertainment,melco-crown-entertainment
China Resources Enterprise,china-resources-enterprise
China Eastern Airlines,china-eastern-airlines
Mitsubishi Materials,mitsubishi-materials
Celanese,celanese
Shaw Communications,shaw-communications
Prada,prada
SES,ses
Tohoku Electric Power,tohoku-electric-power
Lend Lease Group,lend-lease-group
Alleghany,alleghany
Arrow Electronics,arrow-electronics
Boston Scientific,boston-scientific
Shizuoka Bank,shizuoka-bank
Stora Enso,stora-enso
Hyundai Engineering,hyundai-engineering
Suntory Beverage & Food,suntory-beverage-&-food
Chicago Bridge & Iron,chicago-bridge-&-iron
Daito Trust Construction,daito-trust-construction
PulteGroup,pultegroup
T Rowe Price,t-rowe-price
Huishang Bank Corporation Limited,huishang-bank-corporation-limited
Quest Diagnostics,quest-diagnostics
CMS Energy,cms-energy
PKN Orlen,pkn-orlen
Arab Bank,arab-bank
China Southern Airlines,china-southern-airlines
Yamato Holdings,yamato-holdings
Kawasaki Heavy Industries,kawasaki-heavy-industries
Brenntag,brenntag
Zimmer Holdings,zimmer-holdings
Bank of Ningbo,bank-of-ningbo
General Growth Properties,general-growth-properties
Rexel,rexel
Charter Communications,charter-communications
NetApp,netapp
Starwood Hotels,starwood-hotels
Gjensidige Forsikring,gjensidige-forsikring
MOL Hungarian Oil,mol-hungarian-oil
Coach,coach
London Stock Exchange,london-stock-exchange
Uniqa,uniqa
New York Community,new-york-community
Campbell Soup,campbell-soup
Keyence,keyence
Santos,santos
Dollar Tree,dollar-tree
Taishin Financial Holdings,taishin-financial-holdings
Sharp,sharp
Bank of Nanjing,bank-of-nanjing
Delta Lloyd,delta-lloyd
Industrivarden,industrivarden
SMC Corp,smc-corp
AmBank Group,ambank-group
Western Union,western-union
Suning Appliance,suning-appliance
Turk Telekom,turk-telekom
First Republic Bank,first-republic-bank
Fiserv,fiserv
Doosan,doosan
Mediobanca,mediobanca
Vedanta Resources,vedanta-resources
Osaka Gas,osaka-gas
EasyJet,easyjet
Asahi Glass,asahi-glass
BYD,byd
PartnerRe,partnerre
Wisconsin Energy,wisconsin-energy
Fairfax Financial,fairfax-financial
Kinnevik,kinnevik
Dongbu Insurance,dongbu-insurance
Colruyt,colruyt
Noble,noble
BCI-Banco Credito,bci-banco-credito
Molson Coors Brewing,molson-coors-brewing
Bank Leumi,bank-leumi
Eurazeo,eurazeo
Hong Kong Exchanges,hong-kong-exchanges
Sears Holdings,sears-holdings
Alliance Data Systems,alliance-data-systems
El Puerto de Liverpool,el-puerto-de-liverpool
Arch Capital Group,arch-capital-group
FMC Technologies,fmc-technologies
Verbund,verbund
Kintetsu,kintetsu
HCL Technologies,hcl-technologies
Experian,experian
E-mart,e-mart
Sabesp,sabesp
Intuit,intuit
Goldcorp,goldcorp
Dai Nippon Printing,dai-nippon-printing
Quinenco,quinenco
Mitsubishi UFJ Lease,mitsubishi-ufj-lease
Saputo,saputo
Delta Electronics,delta-electronics
CPFL Energia,cpfl-energia
Chiba Bank,chiba-bank
Global Logistic Properties,global-logistic-properties
Advanced Semiconductor,advanced-semiconductor
Enka,enka
Henry Schein,henry-schein
Lear,lear
Hyundai Glovis,hyundai-glovis
Amadeus IT Holdings,amadeus-it-holdings
Hang Lung Group,hang-lung-group
Autoliv,autoliv
Inner Mongolia Yili,inner-mongolia-yili
Zoomlion Heavy Industry,zoomlion-heavy-industry
Braskem,braskem
Doosan Heavy Industries,doosan-heavy-industries
Metalurgica Gerdau,metalurgica-gerdau
Alrosa,alrosa
Ameren,ameren
Sojitz,sojitz
Caltex Australia,caltex-australia
Fidelity National Financial,fidelity-national-financial
Nidec,nidec
Hebei Iron & Steel,hebei-iron-&-steel
American Financial Group,american-financial-group
Encana,encana
Top Frontier Investment Holdings,top-frontier-investment-holdings
WR Berkley,wr-berkley
Moody's,moody's
Espirito Santo Financial,espirito-santo-financial
Jacobs Engineering,jacobs-engineering
Beijing Enterprises,beijing-enterprises
China Taiping Insurance,china-taiping-insurance
ATOS,atos
Flextronics International,flextronics-international
Want Want China,want-want-china
Yamaha Motor,yamaha-motor
Julius Baer Group,julius-baer-group
S-Oil,s-oil
Direct Line Insurance,direct-line-insurance
Dr Pepper Snapple Group,dr-pepper-snapple-group
Pegatron,pegatron
Nintendo,nintendo
Banca MPS,banca-mps
BPI,bpi
Cincinnati Financial,cincinnati-financial
Hindustan Petroleum,hindustan-petroleum
Mondi,mondi
Anadolu Efes,anadolu-efes
HAL Trust,hal-trust
Crown Castle International,crown-castle-international
Lennar,lennar
Equity Residential,equity-residential
Cosmo Oil,cosmo-oil
Zain,zain
ZTE,zte
Industrial Alliance Insurance,industrial-alliance-insurance
Wuliangye Yibin,wuliangye-yibin
Intuitive Surgical,intuitive-surgical
Oriental Land,oriental-land
PLDT,pldt
Power Finance,power-finance
CH Robinson Worldwide,ch-robinson-worldwide
Sino-Ocean Land Holdings,sino-ocean-land-holdings
Union Bank of India,union-bank-of-india
CP All,cp-all
Ajinomoto,ajinomoto
Oji Holdings,oji-holdings
Adani Enterprises,adani-enterprises
Ingram Micro,ingram-micro
Avalonbay Communities,avalonbay-communities
Host Hotels & Resorts,host-hotels-&-resorts
Brown-Forman,brown-forman
JM Smucker,jm-smucker
Saudi Arabian Fertilizers,saudi-arabian-fertilizers
Mead Johnson Nutrition,mead-johnson-nutrition
Analog Devices,analog-devices
Xiamen C&D,xiamen-c&d
Clorox,clorox
Century Tokyo Leasing,century-tokyo-leasing
Amphenol,amphenol
Hong Leong Financial,hong-leong-financial
Novolipetsk Steel,novolipetsk-steel
Harbin Bank,harbin-bank
Banco Comercial Portugues,banco-comercial-portugues
Mitsui OSK Lines,mitsui-osk-lines
TUI,tui
First Quantum Minerals,first-quantum-minerals
Southwestern Energy,southwestern-energy
Kotak Mahindra Bank,kotak-mahindra-bank
Agile Property Holdings,agile-property-holdings
Dubai Islamic Bank,dubai-islamic-bank
CJ Corp,cj-corp
Bank of Ayudhya,bank-of-ayudhya
Raymond James Financial,raymond-james-financial
Thai Beverage,thai-beverage
Michael Kors Holdings,michael-kors-holdings
Bankinter,bankinter
SKF Group,skf-group
Health Care REIT,health-care-reit
Chugoku Electric Power,chugoku-electric-power
Gemdale,gemdale
Shinsei Bank,shinsei-bank
AutoNation,autonation
OTP Bank,otp-bank
DSME,dsme
Greentown China Holdings,greentown-china-holdings
Delek Group,delek-group
Empire,empire
Eisai,eisai
MISC,misc
Belle International Holdings,belle-international-holdings
Essar Energy,essar-energy
CONSOL Energy,consol-energy
Shoprite Holdings,shoprite-holdings
Oil & Gas Development,oil-&-gas-development
China Cosco Holdings,china-cosco-holdings
Nikon,nikon
Masraf Al Rayan,masraf-al-rayan
Taisei,taisei
GF Securities,gf-securities
Westfield Retail Trust,westfield-retail-trust
Petrofac,petrofac
Zions Bancorp,zions-bancorp
IDBI Bank,idbi-bank
BBMG,bbmg
Savola Group,savola-group
Sun Pharma Industries,sun-pharma-industries
Vornado Realty,vornado-realty
First Financial Holding,first-financial-holding
Canadian Oil Sands,canadian-oil-sands
China Merchants Property,china-merchants-property
Pirelli & C,pirelli-&-c
OMRON,omron
Seiko Epson,seiko-epson
Popular,popular
Hoya,hoya
Juniper Networks,juniper-networks
Saudi Arabian Mining,saudi-arabian-mining
Metro Inc,metro-inc
Universal Health,universal-health
Givaudan,givaudan
Petronas Gas,petronas-gas
Severstal,severstal
Regeneron Pharmaceuticals,regeneron-pharmaceuticals
PGN,pgn
Nitto Denko,nitto-denko
China National Chemical,china-national-chemical
Hankook Tire,hankook-tire
Keurig Green Mountain,keurig-green-mountain
Torchmark,torchmark
Infineon Technologies,infineon-technologies
Aeroports de Paris,aeroports-de-paris
Orica,orica
Paychex,paychex
KazMunaiGas Exploration,kazmunaigas-exploration
Ahli United Bank,ahli-united-bank
Catamaran,catamaran
Severn Trent,severn-trent
Inter Rao,inter-rao
CNO Financial Group,cno-financial-group
Obayashi,obayashi
JGC,jgc
Steel Authority of India,steel-authority-of-india
Abengoa,abengoa
Zoetis,zoetis
Medipal Holdings,medipal-holdings
YTL,ytl
Helmerich & Payne,helmerich-&-payne
TCL Corp,tcl-corp
Avago Technologies,avago-technologies
Coca-Cola HBC,coca-cola-hbc
Rural Electrification,rural-electrification
Evraz Group,evraz-group
Xilinx,xilinx
Rockwell Collins,rockwell-collins
Deutsche Annington Immobilien,deutsche-annington-immobilien
LabCorp,labcorp
Maxis,maxis
AGL Energy,agl-energy
Ternium,ternium
Family Dollar Stores,family-dollar-stores
British Land,british-land
China International Marine,china-international-marine
Aozora Bank,aozora-bank
Electrolux Group,electrolux-group
Vallourec,vallourec
Coloplast,coloplast
Check Point Software,check-point-software
Protective Life,protective-life
Qantas Airways,qantas-airways
PVH,pvh
Kajima,kajima
Calpine,calpine
Shanghai Construction,shanghai-construction
Smith & Nephew,smith-&-nephew
CSN,csn
Banco Davivienda,banco-davivienda
Portugal Telecom,portugal-telecom
NMDC,nmdc
CCR,ccr
DR Horton,dr-horton
Unicharm,unicharm
AGCO,agco
Rite Aid,rite-aid
Mohawk Industries,mohawk-industries
UC Rusal,uc-rusal
CR Bard,cr-bard
SCANA,scana
Cheng Shin Rubber Industry Co.,cheng-shin-rubber-industry-co.
Manpower,manpower
Bunzl,bunzl
Toppan Printing,toppan-printing
Sekisui Chemical,sekisui-chemical
Metropolitan Bank & Trust,metropolitan-bank-&-trust
Jiangsu Yanghe Brewery,jiangsu-yanghe-brewery
Petro Rabigh,petro-rabigh
UCB,ucb
Innolux,innolux
Stockland Australia,stockland-australia
Travis Perkins,travis-perkins
Korean Air,korean-air
Zijin Mining Group,zijin-mining-group
Flowserve,flowserve
Axis Capital Holdings,axis-capital-holdings
Mail.ru Group Ltd. Sponsored GDR RegS,mail.ru-group-ltd.-sponsored-gdr-regs
Yamaguchi Financial,yamaguchi-financial
Markel,markel
GEA Group,gea-group
Sany Heavy Industry,sany-heavy-industry
Mashreq Bank,mashreq-bank
Iliad,iliad
Commercial Bank of Qatar,commercial-bank-of-qatar
AU Optronics,au-optronics
Wuhan Iron & Steel,wuhan-iron-&-steel
Nippon Express,nippon-express
Hyundai Marine & Fire,hyundai-marine-&-fire
Talisman Energy,talisman-energy
Hellenic Telecom,hellenic-telecom
Garmin,garmin
Perrigo,perrigo
Roper Industries,roper-industries
Wyndham Worldwide,wyndham-worldwide
Community Health Sys,community-health-sys
Advance Auto Parts,advance-auto-parts
Aldar Properties,aldar-properties
Charoen Pokphand Foods,charoen-pokphand-foods
City Developments,city-developments
Tele2,tele2
Adobe Systems,adobe-systems
Accor,accor
Zodiac Aerospace,zodiac-aerospace
Pioneer Natural Resources,pioneer-natural-resources
Bta Bank,bta-bank
Banco Occidental,banco-occidental
Starwood Property Trust,starwood-property-trust
Gecina,gecina
STRABAG,strabag
Cerner,cerner
United Rentals,united-rentals
ST Engineering,st-engineering
Caesars Entertainment,caesars-entertainment
Lotte Chemical,lotte-chemical
Dassault Systemes,dassault-systemes
TAQA,taqa
EQT,eqt
Shimizu,shimizu
Alfresa Holdings,alfresa-holdings
Ametek,ametek
Fukuoka Financial Group,fukuoka-financial-group
Syndicate Bank,syndicate-bank
Level 3 Communications,level-3-communications
Remgro,remgro
Aramark,aramark
US Steel,us-steel
Acciona,acciona
Nomos Bank,nomos-bank
Guangdong Electric Power,guangdong-electric-power
Shanghai Pharmaceuticals,shanghai-pharmaceuticals
ITV,itv
Renesas Electronics,renesas-electronics
Crown Resorts,crown-resorts
E-Trade Financial,e-trade-financial
TDC,tdc
Olam International,olam-international
Assured Guaranty,assured-guaranty
KLA-Tencor,kla-tencor
Mitsui Chemicals,mitsui-chemicals
Netease,netease
Alfa Laval,alfa-laval
SDIC Power Holdings,sdic-power-holdings
Shenzhen Overseas,shenzhen-overseas
Kerry Group,kerry-group
Kingdom Holding,kingdom-holding
SOHO China,soho-china
Hua Nan Financial,hua-nan-financial
Fastenal,fastenal
SinoPac Financial,sinopac-financial
China Longyuan Power,china-longyuan-power
BM&F Bovespa,bm&f-bovespa
China Merchants Holdings,china-merchants-holdings
Chongqing Changan Auto,chongqing-changan-auto
FCC,fcc
Olympus,olympus
Yanzhou Coal Mining,yanzhou-coal-mining
China Life Insurance (Taiwan),china-life-insurance-(taiwan)
NXP Semiconductors,nxp-semiconductors
Sunac China Holdings,sunac-china-holdings
Interpublic Group,interpublic-group
Electric Power Development,electric-power-development
Quanta Services,quanta-services
Hengan International Group,hengan-international-group
Zenith Bank,zenith-bank
Petronas Dagangan,petronas-dagangan
Bendigo & Adelaide Bank,bendigo-&-adelaide-bank
Whitbread,whitbread
Turkish Airlines,turkish-airlines
Hexagon,hexagon
Yamada Denki,yamada-denki
Old Republic International,old-republic-international
Visteon,visteon
Grifols,grifols
X5 Retail Group,x5-retail-group
Compal Electronics,compal-electronics
Angang Steel,angang-steel
CBRE Group,cbre-group
Sika,sika
Manila Electric,manila-electric
Shanxi Taigang Stainless,shanxi-taigang-stainless
Bajaj Auto,bajaj-auto
Scripps Networks Interactive,scripps-networks-interactive
Cimarex Energy,cimarex-energy
Union National Bank,union-national-bank
Terumo,terumo
Geberit,geberit
Taiwan Mobile,taiwan-mobile
American Water Works,american-water-works
Isetan Mitsukoshi Holdings,isetan-mitsukoshi-holdings
Wolters Kluwer,wolters-kluwer
Tenet Healthcare,tenet-healthcare
China Hongqiao Group,china-hongqiao-group
E-L Financial,e-l-financial
Sigma-Aldrich,sigma-aldrich
Petsmart,petsmart
Arca Continental,arca-continental
Newell Rubbermaid,newell-rubbermaid
Golden Agri-Resources,golden-agri-resources
Bank of Chongqing,bank-of-chongqing
Hachijuni Bank,hachijuni-bank
Jyske Bank,jyske-bank
FBN Holdings,fbn-holdings
Nippon Paper Industries,nippon-paper-industries
Taiwan Cooperative Financial,taiwan-cooperative-financial
Salesforce.com,salesforce.com
Public Power,public-power
KT&G,kt&g
Willis Group Holdings,willis-group-holdings
Israel Corp,israel-corp
Actelion,actelion
Intu Properties plc,intu-properties-plc
Cosan,cosan
Foot Locker,foot-locker
Westlake Chemical,westlake-chemical
Alpiq Holding,alpiq-holding
Pembina Pipeline,pembina-pipeline
Smiths Group,smiths-group
Suzuken,suzuken
Joyo Bank,joyo-bank
Rockwood Holdings,rockwood-holdings
Songbird Estates plc,songbird-estates-plc
Mechel,mechel
Permanent TSB Group,permanent-tsb-group
Darden Restaurants,darden-restaurants
Two Harbors Investment,two-harbors-investment
Embraer,embraer
World Fuel Services,world-fuel-services
Mizrahi Tefahot Bank,mizrahi-tefahot-bank
Gudang Garam,gudang-garam
BCV Group,bcv-group
Banca Popolare dell'Emilia,banca-popolare-dell'emilia
Dongfang Electric,dongfang-electric
Sino Land,sino-land
ISS,iss
Wistron,wistron
Novozymes,novozymes
Capita,capita
Hokuhoku Financial Group,hokuhoku-financial-group
Chang Hwa Bank,chang-hwa-bank
SINOPEC Engineering (Group),sinopec-engineering-(group)
Altera,altera
Iyo Bank,iyo-bank
Chipotle Mexican Grill,chipotle-mexican-grill
LIG Insurance,lig-insurance
Linear Technology,linear-technology
China Mengniu Dairy,china-mengniu-dairy
China Merchants Securities,china-merchants-securities
Lundbergs,lundbergs
IOI Group,ioi-group
GS Holdings,gs-holdings
Smurfit Kappa Group,smurfit-kappa-group
Beam,beam
Avis Budget Group,avis-budget-group
Hikvision,hikvision
Enagas,enagas
Vestas Wind Systems,vestas-wind-systems
MMI Holdings,mmi-holdings
Hammerson plc,hammerson-plc
Metso,metso
Jarden,jarden
Huatai Securities,huatai-securities
Kawasaki Kisen Kaisha,kawasaki-kisen-kaisha
STMicroelectronics,stmicroelectronics
Fortis (Canada),fortis-(canada)
Harbinger Group,harbinger-group
J Front Retailing,j-front-retailing
Porto Seguro,porto-seguro
Crescent Point Energy,crescent-point-energy
Thai Oil,thai-oil
Weir Group,weir-group
Aberdeen Asset Management,aberdeen-asset-management
NVIDIA,nvidia
TDK,tdk
K+S,k+s
Harris,harris
OCI,oci
Forest Laboratories,forest-laboratories
Hyosung,hyosung
DIA,dia
Nishi-Nippon City Bank,nishi-nippon-city-bank
Minmetals Development,minmetals-development
Expeditors International,expeditors-international
Hopson Development Holdings,hopson-development-holdings
77 Bank,77-bank
Eastman Kodak,eastman-kodak
Saudi Hollandi Bank,saudi-hollandi-bank
Chugoku Bank,chugoku-bank
North Pacific Bank,north-pacific-bank
Lanxess,lanxess
OHL Group,ohl-group
Aspen Pharmacare Holdings,aspen-pharmacare-holdings
Alexion Pharmaceuticals,alexion-pharmaceuticals
Subsea 7,subsea-7
Airports of Thailand,airports-of-thailand
Bank of Kyoto,bank-of-kyoto
Burberry Group,burberry-group
Ezdan Holding Group,ezdan-holding-group
Cattolica Assicurazioni,cattolica-assicurazioni
Tech Data,tech-data
Tractor Supply,tractor-supply
Hiroshima Bank,hiroshima-bank
Semen Indonesia,semen-indonesia
Tobu Railway,tobu-railway
Crown Holdings,crown-holdings
Banca Popolare di Milano,banca-popolare-di-milano
Gunma Bank,gunma-bank
Franshion Properties (China),franshion-properties-(china)
Cliffs Natural Resources,cliffs-natural-resources
China Communications Services,china-communications-services
Alaska Air Group,alaska-air-group
Bank Muscat,bank-muscat
JB Hunt Transport,jb-hunt-transport
Nabors Industries,nabors-industries
SNC-Lavalin Group,snc-lavalin-group
Federal Grid of UES,federal-grid-of-ues
SK Networks,sk-networks
NCR,ncr
Bank Audi,bank-audi
Central Bank of India,central-bank-of-india
Masco,masco
BS Financial Group,bs-financial-group
CorpBanca,corpbanca
China National Materials,china-national-materials
Maanshan Iron & Steel,maanshan-iron-&-steel
G4S,g4s
Twitter,twitter
Liberbank,liberbank
First Niagara Financial,first-niagara-financial
Thomas Cook Group,thomas-cook-group
Grupo Elektra,grupo-elektra
Netflix,netflix
Petrovietnam Gas,petrovietnam-gas
Sumitomo Rubber,sumitomo-rubber
Yandex NV,yandex-nv
Aareal Bank,aareal-bank
Banco BPI,banco-bpi
China Gezhouba,china-gezhouba
JC Penney,jc-penney
Aurizon Holdings,aurizon-holdings
Banca CARIGE,banca-carige
Tesla Motors,tesla-motors
Israel Discount Bank,israel-discount-bank
A2A,a2a
Blom Bank,blom-bank
Huntsman,huntsman
JTEKT,jtekt
Waters,waters
E.Sun Financial,e.sun-financial
Almarai,almarai
BOE Technology Group,boe-technology-group
SL Green Realty,sl-green-realty
Banrisul,banrisul
Equity Assurance,equity-assurance
Juroku Bank,juroku-bank
Ruentex Industries,ruentex-industries
Atco,atco
Salzgitter,salzgitter
Ashikaga Holdings,ashikaga-holdings
Ziggo,ziggo
Bolsas & Mercados,bolsas-&-mercados
Thanachart Capital,thanachart-capital
Brilliance China Automotive Holdings,brilliance-china-automotive-holdings
Halyk Bank,halyk-bank
ARM Holdings,arm-holdings
ProSiebenSat1 Media,prosiebensat1-media
Hyundai Hysco,hyundai-hysco
Shionogi & Co.,shionogi-&-co.
Sega Sammy Holdings,sega-sammy-holdings
WABCO Holdings,wabco-holdings
Imperial Holdings,imperial-holdings
Senshu Ikeda Holdings,senshu-ikeda-holdings
Hugo Boss,hugo-boss
Magnitogorsk Iron & Steel,magnitogorsk-iron-&-steel
Nanto Bank,nanto-bank
ASM International N.V.,asm-international-n.v.
Emirates Integrated Telecom,emirates-integrated-telecom
BayWa,baywa
Affiliated Managers Group,affiliated-managers-group
IDB Holding,idb-holding
China Agri-Industries,china-agri-industries
Qatar Islamic Bank,qatar-islamic-bank
LinkedIn,linkedin
Lindt & Sprungli,lindt-&-sprungli
PBF Energy,pbf-energy
Hyakugo Bank,hyakugo-bank
Pacific Rubiales Energy,pacific-rubiales-energy
Far Eastern New Century,far-eastern-new-century
Reliance Steel,reliance-steel
Ayala,ayala
CJ Cheiljedang,cj-cheiljedang
Polyus Gold International,polyus-gold-international
Pinnacle West,pinnacle-west
BOK Financial,bok-financial
Hudson City Bancorp,hudson-city-bancorp
Guaranty Trust Bank,guaranty-trust-bank
Ogaki Kyoritsu Bank,ogaki-kyoritsu-bank
Gansu Jiu Steel Group Hongxing Iron & Steel,gansu-jiu-steel-group-hongxing-iron-&-steel
Realogy Holdings,realogy-holdings
Daishi Bank,daishi-bank
Kansas City Southern,kansas-city-southern
Alinma Bank,alinma-bank
Shiga Bank,shiga-bank
Suruga Bank,suruga-bank
Royal Boskalis,royal-boskalis
SQM,sqm
Toho Bank,toho-bank
Aboitiz Equity Ventures,aboitiz-equity-ventures
McCormick & Co,mccormick-&-co
Jabil Circuit,jabil-circuit
Dick's Sporting Goods,dick's-sporting-goods
Murphy USA,murphy-usa
Varian Medical Systems,varian-medical-systems
Hainan Airlines,hainan-airlines
MeadWestvaco,meadwestvaco
Banca Popolare di Sondrio,banca-popolare-di-sondrio
Indian Bank,indian-bank
Honbridge Holdings,honbridge-holdings
Umicore,umicore
Abu Dhabi Islamic Bank,abu-dhabi-islamic-bank
Orient,orient
VeriSign,verisign
Great Wall Technology,great-wall-technology
CVR Energy,cvr-energy
Hellenic Petroleum,hellenic-petroleum
Balfour Beatty,balfour-beatty
Bilfinger,bilfinger
Monster Beverage,monster-beverage
SpareBank 1 SR-Bank,sparebank-1-sr-bank
Taiwan Business Bank,taiwan-business-bank
Indian Overseas Bank,indian-overseas-bank
Nine Entertainment Co. Holdings Pty,nine-entertainment-co.-holdings-pty
Chinese Estates,chinese-estates
Basler Kantonalbank,basler-kantonalbank
Commercial International Bank,commercial-international-bank
East West Bancorp,east-west-bancorp
Gannett,gannett
Credito Emiliano,credito-emiliano
Illumina,illumina
Nelnet,nelnet
SVB Financial Group,svb-financial-group
Church & Dwight,church-&-dwight
LG Uplus,lg-uplus
Credit Saison,credit-saison
Mercuries & Associates,mercuries-&-associates
Guangzhou Automobile Group Co. Ltd.,guangzhou-automobile-group-co.-ltd.
Hysan Development,hysan-development
Maxim Integrated Products,maxim-integrated-products
AGL Resources,agl-resources
Supervalu,supervalu
Avon Products,avon-products
OW Bunker,ow-bunker
Airgas,airgas
Herbalife,herbalife
Tokyo Electron,tokyo-electron
Shanghai Material Trading,shanghai-material-trading
GameStop Corp.,gamestop-corp.
Higo Bank,higo-bank
American Equity Investment,american-equity-investment
UGI,ugi
Tullow Oil,tullow-oil
Saudi Investment Bank,saudi-investment-bank
Millicom International,millicom-international
DCC,dcc
Tauron Group,tauron-group
Hanwa,hanwa
San-In Godo Bank,san-in-godo-bank
Ecobank Transnational Incorporated,ecobank-transnational-incorporated
Kaisa Group Holdings,kaisa-group-holdings
Hunan Valin Steel,hunan-valin-steel
Hyakujushi Bank,hyakujushi-bank
Corporation Bank,corporation-bank
Intouch Holdings,intouch-holdings
Arkema,arkema
Keiyo Bank,keiyo-bank
Outokumpu,outokumpu
Polaris Industries,polaris-industries
Citrix Systems,citrix-systems
Aurubis,aurubis
Tasnee,tasnee
China Aviation Oil,china-aviation-oil
Musashino Bank,musashino-bank
Ruentex Development,ruentex-development
RMB Holdings,rmb-holdings
Hokkaido Electric Power,hokkaido-electric-power
Signature Bank,signature-bank
NASDAQ OMX Group,nasdaq-omx-group
Bank of Queensland,bank-of-queensland
Interactive Brokers Group,interactive-brokers-group
Yunnan Baiyao Group,yunnan-baiyao-group
Cablevision Systems Corporation,cablevision-systems-corporation
Cheniere Energy,cheniere-energy
Allahabad Bank,allahabad-bank
Cabot Oil & Gas,cabot-oil-&-gas
NetDragon Websoft,netdragon-websoft
Doha Bank,doha-bank
Kagoshima Bank,kagoshima-bank
Inchcape,inchcape
Grupo Argos,grupo-argos
Gemalto,gemalto
Credito Valtellinese,credito-valtellinese
"Workday, Inc.","workday,-inc."
Erie Indemnity,erie-indemnity
Wing Hang Bank,wing-hang-bank
Verisk Analytics,verisk-analytics
Inventec,inventec
Saras,saras
Sealed Air,sealed-air
Japan Exchange Group,japan-exchange-group
B/E Aerospace,b/e-aerospace
Dean Foods,dean-foods
Sonae SGPS,sonae-sgps
Penske Automotive,penske-automotive
Empresa de Energia de Bogota,empresa-de-energia-de-bogota
WEG,weg
Hyprop Investments,hyprop-investments
Antero Resources,antero-resources
DGB Financial Group,dgb-financial-group
Guangdong Investment,guangdong-investment
Vertex Pharmaceuticals,vertex-pharmaceuticals
Parmalat,parmalat
Inner Mongolia Baotou Steel,inner-mongolia-baotou-steel
Pou Chen,pou-chen
Pandora,pandora
Banque Centrale Populaire,banque-centrale-populaire
Meritz Financial Group,meritz-financial-group
Peabody Energy,peabody-energy
President Chain Store,president-chain-store
LKQ,lkq
GS Engineering,gs-engineering
Lawson,lawson
Shimano,shimano
Japan Securities,japan-securities
Eutelsat Communications,eutelsat-communications
IKB Deutsche,ikb-deutsche
Whiting Petroleum,whiting-petroleum
Denbury Resources,denbury-resources
Catlin Group,catlin-group
Vietin Bank,vietin-bank
Concho Resources,concho-resources
Signet Jewelers,signet-jewelers
King Digital Entertainment,king-digital-entertainment
UCO Bank,uco-bank
Gungho Online Entertainment,gungho-online-entertainment
OGE Energy,oge-energy
TPK Holding,tpk-holding
People's United Financial,people's-united-financial
Tsingtao Brewery,tsingtao-brewery
