URL TERMS,COMPANY NAMES,SYNOMYM 1,SYNOMYM 2,SYNOMYM 3,SYNOMYM 4
ecopetrol,Ecopetrol,,,,
industrial-bank,Industrial Bank,,,,
shanghai-pudong-development,Shanghai Pudong Development,,,,
eads,EADS,,,,
swiss-re,Swiss Re,,,,
iberdrola,Iberdrola,,,,
china-citic-bank,China Citic Bank,Citic,,,
citic,,,,,
reliance-industries,Reliance Industries,,,,
hutchison-whampoa,Hutchison Whampoa,,,,
home-depot,Home Depot,,,,
hitachi,Hitachi,,,,
hon-hai-precision,Hon Hai Precision,,,,
phillips-66,Phillips 66,,,,
capital-one-financial,Capital One Financial,,,,
capital-one,,,,,
aviva,Aviva,,,,
france-telecom,France Telecom,,,,
deutsche-telekom,Deutsche Telekom,DT,,,
dt,,,,,
bank-of-montreal,Bank of Montreal,,,,
vinci,VINCI,,,,
suncor-energy,Suncor Energy,,,,
suncor,,,,,
china-telecom,China Telecom,,,,
occidental-petroleum,Occidental Petroleum,,,,
"twenty-first-century-fox,-inc.","Twenty-First Century Fox, Inc.",Twenty First Century Fox,,,
twenty-first-century-fox,,,,,
mitsui-&-co,Mitsui & Co,,,,
qualcomm,Qualcomm,,,,
state-bank-of-india,State Bank of India,,,,
time-warner,Time Warner,,,,
philip-morris-international,Philip Morris International,Philip Morris,,,
philip-morris,,,,,
honeywell-international,Honeywell International,Honeywell,,,
honeywell,,,,,
express-scripts,Express Scripts,,,,
united-parcel-service,United Parcel Service,United Parcel,,,
UPS,,,,,
barclays,Barclays,,,,
pnc-financial-services,PNC Financial Services,PNC Financial,PNC,,
pnc,,,,,
deutsche-post,Deutsche Post,,,,
aia-group,AIA Group,,,,
duke-energy,Duke Energy,,,,
delta-air-lines,Delta Air Lines,Delta,,,
delta-airlines,,,,,
deutsche-bank,Deutsche Bank,,,,
national-grid,National Grid,,,,
abb,ABB,,,,
amgen,Amgen,,,,
ei-du-pont-de-nemours,EI du Pont de Nemours,DuPont,Dupont,,
du-pont,,,,,
dupont,,,,,
manulife-financial,Manulife Financial,Manulife,,,
manulife,,,,,
british-american-tobacco,British American Tobacco,,,,
saic-motor,SAIC Motor,,,,
